order_month,revenue,profit
2016-09-01,143.46,126.47999999999999
2016-10-01,47195.15,34687.45
2016-12-01,19.62,2.18
2017-01-01,127482.37,96114.35
2017-02-01,271239.32,197207.48
2017-03-01,414330.95,304066.75
2017-04-01,390812.4,290526.96
2017-05-01,566657.4,411661.1
2017-06-01,490050.37,353796.37
2017-07-01,566299.08,396909.96
2017-08-01,645832.36,463567.04
2017-09-01,701077.49,513721.85
2017-10-01,751117.01,545378.29
2017-11-01,1153229.37,822066.77
2017-12-01,843078.29,608988.09
2018-01-01,1077887.46,771402.54
2018-02-01,966212.5,686721.74
2018-03-01,1120598.24,786114.26
2018-04-01,1132878.93,814189.25
2018-05-01,1128774.52,826314.86
2018-06-01,1011448.96,699734.98
2018-07-01,1027286.52,707686.42
2018-08-01,985491.64,691661.64
